outcome	exposure	method	b	se	pval
bellenguez	chong	Inverse variance weighted (fixed effects)	0.0389756545580306	0.05443992550798398	0.47402914344745273
bellenguez	chong	MR Egger	0.04632022424138109	0.14966592729366693	0.7580768067505425
bellenguez	chong	Weighted median	0.12298221210604005	0.08870043968598912	0.1655975398840571
bellenguez	chong	Weighted mode	0.17951543732044728	0.1340607768634676	0.18577558453067264
kunkle	chong	MR Egger	0.16575558134941965	0.2537016073472633	0.5160275852949884
kunkle	chong	Weighted median	0.07665059705164798	0.14638841154709842	0.6005490602108604
kunkle	chong	Inverse variance weighted (fixed effects)	0.1079570861090055	0.09378244102824992	0.24967303490587037
kunkle	chong	Weighted mode	0.02909249475626474	0.20168196801957175	0.8857790842226602
nalls	chong	Inverse variance weighted (fixed effects)	0.05088839385807948	0.10399241280491309	0.6245959248867371
nalls	chong	MR Egger	0.19737088029378633	0.3349539164910813	0.5626365305463237
nalls	chong	Weighted median	0.1228651306591221	0.145517596953839	0.3984840359343872
nalls	chong	Weighted mode	0.10398576588585896	0.15125862243254762	0.49968207598000847
bellenguez	gupta	Inverse variance weighted (fixed effects)	0.00519076657305924	0.04156673810455168	0.9006202220928778
bellenguez	gupta	MR Egger	0.00480766466060637	0.08358716431767177	0.9544349267819078
bellenguez	gupta	Weighted median	-0.06025505266662127	0.0646394095140476	0.35124760317674314
bellenguez	gupta	Weighted mode	-0.05547119694066693	0.08080089899774964	0.4964488483006044
kunkle	gupta	MR Egger	-0.25359040268422695	0.1411165571882553	0.08007851839720538
kunkle	gupta	Weighted median	-0.15842286291222127	0.11104126727432392	0.1536656406210025
kunkle	gupta	Inverse variance weighted (fixed effects)	-0.1081730640898732	0.07216110461937589	0.13386080438647313
kunkle	gupta	Weighted mode	-0.175751135479151	0.13457140719453847	0.19901129838710427
nalls	gupta	Inverse variance weighted (fixed effects)	0.03304057770258902	0.12140887182408697	0.7855120479556972
nalls	gupta	MR Egger	0.46937268148400046	0.4702553568293544	0.35146464748532635
nalls	gupta	Weighted median	0.12608264643928557	0.16431266717026854	0.4428831381948023
nalls	gupta	Weighted mode	0.1331061732356822	0.19115536040890024	0.5059493815163467
bellenguez	hagg	MR Egger	0.00579064653978504	0.24424982969416553	0.9811904366492435
bellenguez	hagg	Weighted median	0.1480066173579464	0.09694051586349749	0.1268162998411853
bellenguez	hagg	Inverse variance weighted (fixed effects)	0.11489093780229476	0.05951990491076543	0.05357037330674726
bellenguez	hagg	Weighted mode	0.16966799802700905	0.1619971643644713	0.30040960017265633
kunkle	hagg	MR Egger	0.45808849283395736	0.3762125541056052	0.22957319556116584
kunkle	hagg	Weighted median	0.15855844768926697	0.15942426960035103	0.31994589646889704
kunkle	hagg	Inverse variance weighted (fixed effects)	0.11941281898662544	0.10364036123365657	0.24924526087916304
kunkle	hagg	Weighted mode	0.22183290360201324	0.27913163257726137	0.43076837284774205
nalls	hagg	Inverse variance weighted (fixed effects)	-0.11622568866942123	0.1123164808684327	0.30075985147728657
nalls	hagg	MR Egger	-0.5715244247869586	0.5362732744348176	0.3006313516540887
nalls	hagg	Weighted median	-0.1643558924448616	0.16951933926452237	0.33227550250109256
nalls	hagg	Weighted mode	-0.25668821466237146	0.2579905529595707	0.3322628496599743
bellenguez	longchamps	Inverse variance weighted (fixed effects)	0.033080023238618	0.04597516657864464	0.4718209672192604
bellenguez	longchamps	MR Egger	0.1460426977886826	0.12250429396992704	0.23648418879345712
bellenguez	longchamps	Weighted median	0.09968289095314135	0.07710959418007327	0.19609994760470756
bellenguez	longchamps	Weighted mode	0.10075512998794256	0.09552247156838464	0.294446697685651
kunkle	longchamps	MR Egger	0.2044633164816918	0.1875405252197304	0.27861992007616465
kunkle	longchamps	Weighted median	0.16813606339922213	0.12721257383383797	0.1862701516530385
kunkle	longchamps	Inverse variance weighted (fixed effects)	0.11003316371456644	0.08009883406873212	0.16952942655675207
kunkle	longchamps	Weighted mode	0.05900866695274587	0.1604276930359489	0.7138899605765305
nalls	longchamps	Inverse variance weighted (fixed effects)	0.06408964080342176	0.08681366317828865	0.46036636557911137
nalls	longchamps	MR Egger	0.04434304358223518	0.21050566157351655	0.8346334548167671
nalls	longchamps	Weighted median	0.0793707594491433	0.13289278133824753	0.5503377397074453
nalls	longchamps	Weighted mode	0.03116591776181154	0.13152908867755944	0.814305586755316
